"chickID"	"nestID"	"easting"	"northing"	"species"	"sex"	"year"	"dateinseason"	"male"	"female"
"1"	"chick-30"	"nest-3"	320750	7555148	"Kittlitz's"	"F"	2012	95	0	1
"2"	"chick-31"	"nest-3"	320750	7555148	"Kittlitz's"	"M"	2012	95	1	0
"3"	"chick-6"	"nest-4"	320894	7554826	"Kittlitz's"	"M"	2012	109	1	0
"4"	"chick-8"	"nest-4"	320894	7554826	"Kittlitz's"	"M"	2012	110	1	0
"5"	"chick-9"	"nest-2"	320608	7554848	"Kittlitz's"	"M"	2012	112	1	0
"6"	"chick-10"	"nest-2"	320608	7554848	"Kittlitz's"	"M"	2012	112	1	0
"7"	"chick-15"	"nest-5"	319799	7556284	"Kittlitz's"	"M"	2013	47	1	0
"8"	"chick-17"	"nest-5"	319799	7556284	"Kittlitz's"	"F"	2013	47	0	1
"9"	"chick-22"	"nest-12"	321271	7554873	"Kittlitz's"	"M"	2013	52	1	0
"10"	"chick-23"	"nest-12"	321271	7554873	"Kittlitz's"	"M"	2013	52	1	0
"11"	"chick-3"	"nest-16"	319582	7556196	"Kittlitz's"	"M"	2013	47	1	0
"12"	"chick-7"	"nest-16"	319582	7556196	"Kittlitz's"	"F"	2013	47	0	1
"13"	"chick-12"	"nest-25"	320713	7555776	"Kittlitz's"	"F"	2013	55	0	1
"14"	"chick-27"	"nest-25"	320713	7555776	"Kittlitz's"	"F"	2013	55	0	1
"15"	"chick-34"	"nest-26"	321118	7556267	"Kittlitz's"	"F"	2013	59	0	1
"16"	"chick-35"	"nest-26"	321118	7556267	"Kittlitz's"	"M"	2013	59	1	0
"17"	"chick-11"	"nest-6"	321249	7556009	"Kittlitz's"	"M"	2013	49	1	0
"18"	"chick-16"	"nest-6"	321249	7556009	"Kittlitz's"	"M"	2013	49	1	0
"19"	"chick-28"	"nest-11"	320203	7553512	"Kittlitz's"	"F"	2013	61	0	1
"20"	"chick-29"	"nest-11"	320203	7553512	"Kittlitz's"	"M"	2013	61	1	0
"21"	"chick-32"	"nest-17"	320878	7555961	"Kittlitz's"	"M"	2013	57	1	0
"22"	"chick-33"	"nest-17"	320878	7555961	"Kittlitz's"	"M"	2013	58	1	0
"23"	"chick-41"	"nest-18"	320989	7555903	"Kittlitz's"	"F"	2013	63	0	1
"24"	"chick-60"	"nest-18"	320989	7555903	"Kittlitz's"	"M"	2013	63	1	0
"25"	"chick-20"	"nest-24"	321018	7553431	"Kittlitz's"	"F"	2013	51	0	1
"26"	"chick-21"	"nest-24"	321018	7553431	"Kittlitz's"	"F"	2013	51	0	1
"27"	"chick-44"	"nest-27"	321090	7555914	"Kittlitz's"	"F"	2013	71	0	1
"28"	"chick-45"	"nest-27"	321090	7555914	"Kittlitz's"	"M"	2013	71	1	0
"29"	"chick-65"	"nest-28"	319872	7553755	"Kittlitz's"	"M"	2013	84	1	0
"30"	"chick-66"	"nest-28"	319872	7553755	"Kittlitz's"	"M"	2013	84	1	0
"35"	"chick-75"	"nest-7"	321201	7556093	"Kittlitz's"	"M"	2013	89	1	0
"36"	"chick-76"	"nest-7"	321201	7556093	"Kittlitz's"	"F"	2013	89	0	1
"37"	"chick-55"	"nest-8"	319970	7554931	"Kittlitz's"	"M"	2013	77	1	0
"38"	"chick-56"	"nest-8"	319970	7554931	"Kittlitz's"	"M"	2013	77	1	0
"39"	"chick-52"	"nest-9"	320102	7555634	"Kittlitz's"	"M"	2013	77	1	0
"40"	"chick-53"	"nest-9"	320102	7555634	"Kittlitz's"	"M"	2013	77	1	0
"41"	"chick-50"	"nest-10"	320222	7555861	"Kittlitz's"	"F"	2013	75	0	1
"42"	"chick-51"	"nest-10"	320222	7555861	"Kittlitz's"	"F"	2013	75	0	1
"43"	"chick-4"	"nest-13"	319790	7556003	"Kittlitz's"	"F"	2013	57	0	1
"44"	"chick-14"	"nest-13"	319790	7556003	"Kittlitz's"	"M"	2013	57	1	0
"45"	"chick-38"	"nest-14"	319965	7554869	"Kittlitz's"	"F"	2013	62	0	1
"46"	"chick-39"	"nest-14"	319965	7554869	"Kittlitz's"	"F"	2013	62	0	1
"47"	"chick-36"	"nest-15"	321510	7555664	"Kittlitz's"	"M"	2013	61	1	0
"48"	"chick-40"	"nest-15"	321510	7555664	"Kittlitz's"	"F"	2013	61	0	1
"49"	"chick-67"	"nest-19"	320911	7553865	"Kittlitz's"	"F"	2013	90	0	1
"50"	"chick-68"	"nest-19"	320911	7553865	"Kittlitz's"	"F"	2013	90	0	1
"51"	"chick-63"	"nest-20"	319894	7553749	"Kittlitz's"	"M"	2013	82	1	0
"52"	"chick-64"	"nest-20"	319894	7553749	"Kittlitz's"	"F"	2013	83	0	1
